"timestamp","content","rating","user_id","category"
"2024-09-25 13:14:29","#8th PYIFF# 有朴素的动人之处，但直白讲，是浪费了一个好题材。 拍摄对象是位年逾九旬的华裔舞女，曾在旧金山唐人街风光一时，但影片的焦点却避开了女和华，最终落在老字上，若不是舞女特殊身份所带来的题材光环，几乎就成了老有所为公益片了。 所以三星都给人物本身吧，片子本身有点乏善可陈。开头又是傅满洲又是黄祸论，后面全都消失不见，又成了生命赞歌了。 不过有一幕挺喜欢，就是老太太的丈夫对着镜头，一边感叹生命短暂一边流泪，旁边老太太若无其事地在玩空档接龙。很真实，自我感动的都是旁观者，当事人只是在尽可能惬意地过她的人生。","3","philaro2009","detailed_neutral"
"2024-11-06 18:40:42","电影忠实记录着华人亚裔女性们的历史；而现实中今天是川普当选的日子，令人唏嘘。","4","woweezowee1999","positive"
"2024-11-07 16:59:15","非常珍贵难得的题材，Coby拥有精彩的一生和珍贵的老年爱情。可惜片子很多话题只是点到为止，唐人街的亚女大腿舞，有多少是文化奇观成分？去古巴、去中国，阿姨们想寻找的具体是什么？当年的风情舞和女性主义进步后拉斯维加斯表演，有多少传承和解放？片子讲得太散了，没能形成一个完整的叙述。","3","auntbear","detailed_neutral"
"2024-11-01 20:29:10","西部影谈路演，为平遥补票。能不能别让乱七八糟的大学老师参加映后了啊？请把时间留给观众，没人想听你们过剩的ego。","4","Ammuxetine","positive"
"2024-11-06 21:19:10","看过导演访谈之后更能理解她操作这一选题的方式。导演最初是出于学术兴趣想要挖掘20世纪唐人街演艺界的华人女性，还处于做田野、读文献的阶段，并不知道研究成果会以何种形式呈现，但当她与这群女性相遇后，就立刻决定拍纪录片，即便她从未涉足过这一领域；在制作影片的过程中，导演经历了怀孕生产和癌症治疗，而拍摄对象蓬勃的生命力一直影响着她，因此不难理解影片选择以情感为驱动，落脚于对女性生命的赞颂，而非条分缕析的历史或人类学研究。导演并不打算厘清笼罩在她们身体、舞蹈和图像之上的各种目光，而是通过重复叠加从腿部向上的遥镜，等待这一凝视性的语言逐渐澄明，真切看见舞动的女性身体；同时跟随巡演将她们的身影放置在不同的文化空间中，就像Stephen的拼贴画那样，正是她们的身体跨越陌异的地理空间联结成共同的海外华人社群。","4","64882717","positive"
"2024-09-24 15:39:42","有价值魅力的在于主人公的传奇性，选择的题材和人物本身就是富有传奇色彩的。可惜没有把那时对女性剥削的第二层拍出来。全片最感动我的时刻是丈夫大感时日不多，但影像会留下来。","3","grinch","neutral"
"2024-10-30 22:02:08","生活在一个正常的地方，七八十岁的时候世界还会在你眼前徐徐展开。","5","186258439","positive"
"2024-09-24 17:00:38","（PYIFF）她玩着蜘蛛纸牌，耳旁是感性爱人关于生命的流泪絮语。她每一次都会赢，就像一次次重复强调，却永远不存在的天鹅之舞。","5","203512097","positive"
"2024-10-27 18:56:24","路演不小心买到第一排的票 奶奶们看着我大落泪过来握着我的手 还说我像她孙女 还给奶奶们看了我跳宝乐思的视频嘿嘿","5","120094445","positive"
"2024-10-29 10:29:24","印象最深刻的两个画面，一个是画外问coby为什么不顺应市场跳脱衣舞，她不假思索斩钉截铁的say no。脑子里蹦出了风情不是色情这句话，对艺术、对人生的选择，她有自己的坚持。 另一个是蜘蛛纸牌，我们都像史蒂芬，会因为年龄焦虑，为了未来和过去感伤，但coby就是活在当下，现下的快乐最重要！别去烦恼自己老了，先享受现在的生命，真希望我接下来的一生，也可以活成coby这样酣畅淋漓活着的人！","5","185626256","positive"
"2024-10-29 00:01:42","蛮可惜的，没有把人物的多面性和复杂度拍出来，好像是带着仰望在看这个人物","3","Colman","neutral"
"2024-11-09 23:22:33","一个特殊华裔女性团体的故事，导演用温情掩盖了一个事实，那就是康康舞是男性对于女色消费的产物，不然就不会随着脱衣舞的大行其道而迅速没落。片子并未呈现生活在美国的这些华裔老太太一生遭遇的苦难，好像她们从事这行从没遇到过欺负似的，以及，余金巧的父亲带着她的兄弟姐妹回国后究竟遭遇了什么，导演也很聪明地语焉不详了。影片似乎在通过余金巧的一生证明，女性可以掌握自己身体的所有权，进而掌控自己的人生开心到老。可是真的是这样吗？","4","leafraincao","positive"
"2024-09-24 17:15:06","亚裔女性/种族/性别/移民/风情行业 Coby金巧的房间和衣服琳琅满目，华丽的不像真实的人，真就是画报里出来的，然后了解到她是个心灵手巧的女性，这些都是她用缝纫机做出来的，然后又了解到她收购紫禁城俱乐部，创建舞团，甚至生命最后一个星期还在跳舞，她聪明又果敢； 但是她很幸运，她是大老板亲戚家的孩子，她是舞女中有权有势的，她其实是被保护的，这个电影照射出了梦幻美好的那部分； steve和coby的爱情故事挺动人的，中间那段Coby打蜘蛛牌，然后Steve在很深沉的说一些话，他说担心对方离开，那时有一滴泪水从面颊滑落，但是Coby赢了，他又开心的笑了； 杨圆圆去做了这样的一个记录，挺棒的.","5","190915515","positive"
"2024-09-26 12:52:56","本来看完总觉得少了点什么，听了映后才知道，原来导演本来计划带coby回广东的，遗憾构成了纪录片未能说明的部分","4","146714019","positive"
"2024-10-29 12:07:45","选题大于能力，个人感动大于镜头所展示的内容，拍的很琐碎，想表达的东西太多反而不知道要表达什么。Coby很可爱很鲜活。","3","225968647","neutral"
"2024-09-28 01:25:24","240925平遥，没有什么导演自我表达，但好在这个题材不需要这种画蛇添足，所以整体很舒服。看的过程中有在审视这群人，看完之后觉得我配吗？","5","258016883","positive"
"2024-11-06 22:07:49","整个电影充斥着一种复古disco的影像质感，突然发现其实和《里斯本丸》在讲述同一种故事，一种在异乡找到和自己产生遥远羁绊的人们的故事。青春是化冻的沼泽。","4","188222271","positive"
"2024-09-24 15:30:23","一种华裔的生命力，老去，凋零，却仍要舞蹈！梦幻的谪仙记，和白先勇的tea for two一样的fairy land。","5","191435794","positive"
"2024-11-08 09:59:49","导演没有理清她素材中间的关联，导致总会觉得东一块，西一块的。但女人们有自己喜欢的事业，能过好自己的一生，还是令人十分感动的","4","185456652","positive"
"2024-09-25 22:14:54","特别好，风月往事里的女性主义，很难得。","5","63306444","positive"
"2024-09-30 17:50:11","【2023海浪电影周WIP放映】题材难得的纪录片。记录了一群在20世纪50-60年代在美国唐人街夜总会表演风情舞的美国华人女性的故事。她们表演的风情舞具有情色意味。但她们并不以此为羞耻，反而在服装上融入了中国文化元素。如今她们都已到耄耋之年还在华裔舞团里跳舞，继续自信地展示自己不再年轻的身体和舞姿。最令人动容的拍摄对象是92岁高龄的奶奶Coby Yee。仍然是那么有活力，跳起舞蹈还是那么开心。心灵手巧地缝纫各种特色的服装。还有一位善良的伴侣陪伴，做着那些可爱的拼贴。她在生命的最后一周还在跳舞。在2019年还来到上海进行了现场表演，来到北京参观了故宫，实现了紫禁城夜总会的舞女终于第一次来到紫禁城的奇妙联动。令人动容。即使没有更深入地探讨美国华人境遇，仅是记录这些女性便是有意义的。三星半","4","longzheking","positive"
"2024-11-06 20:30:43","喜欢戴老师说的，她爱她每一个阶段的年龄。影片也在纪录失去，纪录生命会老去，但生命力却能十足。20241106，北大讲堂放映，貌似也是来京十年第一次进北大了。","4","52944642","positive"
"2024-11-02 20:27:05","@曹杨影院 导演差不多是用迷妹视角拍摄的。当然，Coby的舞台之魅确实很动人，但华人意味着什么，舞女又意味着什么，有太多细微之处被轻易放过了，这让结尾致敬女性先锋显得尴尬突兀。到场的几位奶奶里有一个改开后才到美国的，会说中文，今天激动喊出我爱上海，又迟疑片刻，喊我爱中国，那片刻的迟疑里有多少华人的欲说还休呢，片子里却几乎没有深究，很遗憾。","3","149372267","detailed_neutral"
"2024-09-24 15:37:47","对移民故事无感，对美国人故事更无感，对导演的自恋只感觉无语。说白了，我们老中谁没事关心你们高华还是 n 代高华啊，古巴的故事是另一种叙事，但美国毕竟不一样。问题到这里呼之欲出了，90 岁高龄迸发出的生命力令人动容，但这部电影想去表达的不是这种生命力罢了。","2","165265004","negative"
"2024-10-28 18:06:16","（3.5）是好的人物故事，喜歡奶奶們紮實且動人的生命狀態，大家唸廣東話的語調分岔出不同音準居然有點想哭，可以挖到很多動人有趣的小彩蛋。 唯一的保留態度是，選材是一個精準的切口，踩在海外-離散華人-女性-認同的交叉點上，結尾致敬Esther Eng以及「女性先鋒」，這種精准裁切背後的精英氣質還是會讓我感覺到隔膜。或者說 從人物生命到價值論述之間有一塊踩空的留白，也許是有關不可抗力所致","3","Shenayvv","detailed_neutral"
"2024-11-06 15:36:54","不难看有很喜欢的片段，纸牌you win那里，但怀疑是为了吃女性主义流量才现起的这个中文名，本名《Chinatown Cha-Cha》就是全部了。华人老女人这个词中表现得更多的是华和老，老的部分很好，为取悦自己跳舞到去世前永远有绽放的生命力。华的部分可惜没有深入历史而且很白，把华人文化当奇观。女我是没懂她们当初选择跳舞不就是为了赚钱吗？风俗舞蹈男凝就是男凝她们这辈子都不会说是女性意识觉醒所以脱衣的时候more and more，映后已经在有女孩说或许其他角度审视疯马秀也不是性化女性的东西了卧槽","3","121295008","detailed_neutral"
"2024-11-05 20:24:07","印象最深刻的是余女士说希望年纪大的人也能跳起舞来，出了影院楼下广场上到处都有人在跳舞，对很先锋的女士们的记录。","4","156751003","positive"
"2024-09-24 15:19:40","来自沪/粤的族群认同与爵士时代的时尚风格结合构成了一种独特的，文化杂合的离岸华人女性认同方式，而不是简单的以东方主义一概而论。同构于影片半民族志、半私密影像的档案电影特质，与此同时，时间的幽灵又体现在她们苍老的身体之上，作为历史的晶体，隐藏着很多的潜在性叙事。尽管导演仍然存在部分狡猾的汉地式的思维，但是《女人世界》展现了一种有别于传统汉地或是东愁的，再或者是海外白左华裔历史创伤式的犹太思维规训的美学，或表述形式，特别是对于年龄和生死，令影片的基调多了些轻盈，少了几分沉重。这也是影片的隐微书写，在One or many Chinas的问题面前偏向于后者。","4","Whowaitsforme","positive"
"2024-09-24 15:26:25","@PYIFF 2024 夜店舞女作为文化符号联结历史与当下，历史的篇幅疑似缺乏到仅剩家族史的断代，而那些影像的切片只是这个符号浅显的同面。作为民族志与家庭影像都远远不够，当然纪录是有价值的，只是当下的全部生活被呈现为舞蹈而没有其他，以及舞台与舞台之后身体的展示不够有效。后半段转为旅游vlog，文化差异下的重复却没能拍出更多，看睡着了。2.4","2","Omnivore_03343","negative"
"2024-11-05 17:35:16","人生富丽秀。[片尾看到山一WIP的标志，突然意识到它已经离开这里四年了，却好像又一直用顽强的生命力存活着；分外感动]","4","stevecarell","positive"
"2024-11-05 17:22:00","让我看到了另一种生活，这挺好的，老奶奶们很有生命力。 但是，哪里体现先锋性了？片尾的致敬我是一头雾水，风情舞难道不是男凝？露大腿难道不是因为老板给得实在太多吗？还扯上艺术了？和脱衣舞的区别不就是露不露点吗？搔首弄姿one more,one more，是女性觉醒的体现？ 女性主义者应该抵制，居然还拍掌！ 老奶奶们挺好，导演太矫揉造作。 片名Chinatown ChaCha，翻译成唐人街舞女，哪怕紫禁城舞女，都还算扣题了 。女人世界除了致敬 和片子简直驴唇不对马嘴。","2","84093650","negative"
